cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
6.9,5.1,75,4,670,3.2,2
6.6,3.5,304,3,158,9.3,2
5.6,6.0,185,4,320,29.0,0
6.0,7.6,456,6,399,24.7,0
2.2,9.5,488,6,606,8.5,0
4.6,5.0,363,4,491,11.0,2
8.2,2.8,142,0,391,4.6,1
2.4,10.0,533,7,200,2.5,0
6.1,4.9,251,4,450,19.9,2
10.0,1.0,70,3,751,7.9,1
10.0,1.0,57,0,387,7.4,1
7.1,4.2,225,4,516,5.5,2
6.5,4.0,138,6,767,0.8,2
3.8,8.8,521,5,206,0.5,0
5.4,5.3,181,5,145,14.7,2
6.4,2.9,64,4,806,1.1,1
7.2,4.4,153,5,512,7.8,2
8.1,3.9,49,6,279,32.5,0
6.0,4.1,123,7,435,0.5,2
10.0,1.0,7,0,538,10.9,1
7.3,3.1,326,2,527,3.7,1
2.1,10.0,525,11,594,0.9,0
6.0,4.5,129,4,686,11.5,2
8.7,3.9,82,3,885,0.5,1
5.0,7.8,342,6,355,14.7,0
6.4,5.2,108,6,272,5.3,2
7.4,1.7,380,3,487,12.2,2
6.4,7.5,176,5,802,1.0,2
5.8,5.7,295,8,344,3.0,2
7.1,5.5,164,2,719,6.7,2
6.5,6.3,462,4,127,8.9,2
6.5,3.2,249,0,241,30.6,2
8.7,3.2,125,3,30,4.6,1
3.7,7.2,342,8,611,8.1,0
7.6,4.0,98,7,484,1.1,1
7.5,4.8,81,6,581,1.7,2
7.8,3.6,83,2,308,14.6,1
6.4,5.8,102,5,402,35.1,0
6.8,3.6,221,3,460,0.5,1
7.2,2.7,102,3,198,2.2,1
6.0,4.4,313,6,524,0.5,0
8.2,2.2,117,0,175,4.2,1
9.7,1.6,38,2,434,4.0,1
6.2,5.5,354,6,864,7.5,2
3.2,6.4,0,9,211,1.5,0
9.8,1.6,22,0,822,3.3,1
5.7,4.7,241,4,494,36.0,0
4.2,8.8,457,6,316,12.3,0
2.4,7.1,483,8,883,5.1,0
7.0,4.1,203,1,403,3.0,1
4.1,7.6,451,7,497,5.6,0
5.6,3.6,236,4,327,27.9,2
4.4,6.2,270,7,273,8.2,0
6.2,3.7,283,6,441,6.4,2
3.8,6.2,540,6,364,5.1,0
5.4,6.5,147,4,20,8.3,2
4.7,6.3,426,6,438,3.7,0
4.5,6.6,354,4,400,15.0,0
4.0,7.1,407,7,422,3.1,0
10.0,2.4,111,4,402,16.8,2
4.5,6.8,443,9,555,9.6,0
6.4,5.0,82,2,246,3.4,1
7.1,4.7,226,6,798,2.8,2
7.6,2.8,114,3,260,3.6,1
6.9,4.3,315,2,434,0.7,1
8.9,1.8,0,0,290,4.1,1
5.6,4.9,331,6,372,17.3,0
9.0,5.3,279,4,360,4.1,1
6.3,3.8,433,6,669,6.0,2
6.7,4.2,198,4,151,0.9,1
8.4,3.0,5,0,759,2.3,1
5.2,5.9,224,3,604,3.9,2
8.8,1.2,110,4,225,2.8,1
9.8,3.8,0,1,573,4.0,1
5.4,4.0,352,6,795,0.5,2
6.7,4.1,317,1,819,2.2,2
7.5,4.2,77,3,469,3.5,1
4.9,5.5,482,6,829,8.8,0
8.2,4.0,39,4,402,0.5,1
4.9,4.7,454,8,438,2.7,0
5.8,4.3,330,4,125,6.6,2
10.0,1.0,0,0,318,8.6,1
6.6,4.3,424,8,392,10.9,0
4.9,4.4,345,6,114,2.3,0
7.3,6.1,194,1,353,7.6,2
6.0,5.8,215,4,194,4.8,2
3.4,8.6,506,10,293,3.0,0
5.5,5.6,470,5,533,7.3,0
6.6,4.3,287,5,525,3.9,2
7.2,3.2,294,8,526,2.8,2
7.1,4.0,90,5,688,7.5,2
6.0,5.2,329,5,631,2.9,2
5.3,5.3,246,6,211,1.4,2
4.2,7.2,303,8,394,1.1,0
6.3,5.6,282,8,441,5.3,0
6.1,4.6,351,7,311,0.5,2
6.3,5.8,355,7,424,1.7,2
4.9,4.5,356,8,727,13.3,0
8.3,3.0,34,0,502,27.1,1
7.7,4.7,315,4,250,2.0,1
6.5,1.3,267,5,744,17.6,2
6.3,5.1,361,3,20,3.3,2
4.6,7.1,396,9,208,23.3,0
6.9,3.3,30,5,758,3.7,1
3.7,7.2,420,11,552,6.7,0
5.1,6.7,500,8,490,27.2,0
9.5,2.5,77,0,336,10.9,1
3.5,7.2,532,7,612,3.2,0
4.7,7.7,337,6,297,10.4,0
7.0,3.9,248,1,741,2.0,1
7.3,3.1,219,3,371,4.0,1
9.0,1.6,188,0,249,4.6,1
9.4,1.0,27,0,237,0.9,1
4.7,7.8,428,7,166,0.8,0
5.1,5.3,310,9,239,11.4,0
9.0,2.5,64,3,330,4.6,1
5.2,5.7,209,3,20,11.4,2
6.3,4.0,157,4,623,5.3,2
9.9,4.5,12,3,581,9.0,1
5.3,2.7,292,3,320,2.6,2
8.7,1.9,37,3,279,6.3,1
7.8,2.3,217,4,438,0.5,1
6.9,4.1,442,7,326,0.5,2
8.5,1.0,236,2,157,2.0,1
3.1,5.4,544,12,323,0.5,0
9.0,1.0,35,0,485,9.3,1
8.3,1.0,229,2,778,1.0,1
5.5,5.3,255,5,344,9.3,2
7.3,4.0,59,5,307,6.0,1
6.6,5.2,369,6,538,5.8,2
7.1,3.3,275,2,20,13.0,1
5.6,6.2,166,5,45,0.5,2
5.2,4.8,330,7,523,12.2,0
5.6,7.2,300,6,512,26.7,0
4.1,6.3,372,5,506,13.2,0
6.2,4.5,273,4,370,1.5,2
7.1,2.5,316,4,757,5.7,2
6.2,4.3,329,6,384,2.7,2
8.1,3.0,120,5,498,12.0,1
4.5,3.9,449,3,88,22.4,2
5.6,4.2,273,5,559,10.1,2
9.5,1.0,91,3,539,2.2,1
8.3,2.4,99,3,429,6.5,1
5.7,4.5,304,4,511,5.0,2
8.9,1.4,159,2,595,1.9,1
8.5,4.1,203,2,259,2.7,1
6.0,5.7,246,2,181,16.7,2
4.3,7.7,505,4,275,36.0,0
7.0,5.3,131,5,602,0.7,2
4.5,4.3,452,4,145,5.4,2
6.8,6.3,284,5,415,8.3,2
6.4,1.0,177,1,508,25.9,1
5.3,4.6,297,3,29,0.6,2
4.6,6.3,472,5,242,7.0,0
6.4,3.5,257,6,594,12.7,2
6.0,3.5,218,4,450,13.4,2
6.5,1.8,239,7,679,5.5,2
3.9,5.1,414,7,25,1.8,0
5.1,6.8,226,4,489,8.1,2
4.7,3.6,355,7,382,1.1,2
6.6,3.8,206,4,64,5.7,2
4.2,4.4,415,7,427,8.5,0
7.2,4.1,405,5,214,10.1,2
6.3,6.9,309,5,380,5.9,2
6.6,4.5,260,3,356,3.4,2
5.1,5.4,218,4,366,36.0,0
7.2,2.4,162,4,94,3.8,2
6.8,6.5,285,5,398,11.6,2
3.9,7.2,441,10,736,4.3,0
4.6,7.7,355,5,20,8.0,0
10.0,1.0,37,0,671,1.6,1
5.6,4.3,151,2,20,2.4,1
8.1,1.0,126,3,581,13.3,1
7.1,7.2,109,2,492,1.4,2
6.3,6.9,205,6,716,6.4,0
5.0,6.1,262,7,751,17.0,0
4.7,3.5,122,6,454,23.3,2
6.0,6.3,291,4,228,1.5,2
7.6,2.2,16,5,541,15.5,1
8.2,1.0,43,4,730,0.6,1
5.8,5.9,220,3,794,6.4,2
10.0,1.0,26,1,583,0.5,1
4.3,5.1,499,6,766,4.6,0
7.0,5.7,151,4,699,6.0,2
8.5,1.6,117,4,129,2.5,1
9.3,1.4,130,2,106,6.1,1
5.4,6.3,452,7,585,9.6,0
4.1,6.3,291,4,630,12.6,0
6.8,3.1,349,7,427,1.0,2
5.0,4.7,453,6,406,5.4,2
4.4,6.2,519,9,627,3.1,0
7.1,4.7,177,4,596,7.8,2
8.4,3.9,101,3,781,8.1,1
5.7,5.7,430,0,333,11.1,2
5.5,6.6,459,10,369,2.5,0
6.6,4.1,137,5,56,4.8,1
6.0,7.1,484,4,225,10.4,2
5.4,4.7,257,4,654,4.4,2
7.5,1.3,159,4,367,8.7,1
8.4,2.7,104,1,583,3.5,1
7.7,2.9,42,3,446,7.4,1
6.2,2.4,98,2,654,2.6,1
4.4,6.7,427,6,292,0.8,0
6.2,4.9,294,5,450,4.1,2
4.2,7.1,328,6,501,11.2,0
8.1,5.4,142,3,645,27.5,2
4.6,7.3,391,8,700,1.8,0
8.1,4.7,138,2,152,4.9,1
8.1,3.0,261,1,510,3.8,1
3.9,6.1,418,4,311,2.1,2
6.4,4.1,315,6,628,2.9,2
7.4,5.5,155,5,522,5.0,2
7.0,4.5,316,7,364,18.4,2
7.3,4.6,191,3,639,7.6,2
7.2,4.0,129,1,280,3.7,1
5.1,5.2,325,5,347,0.5,2
5.5,4.9,338,3,596,5.6,2
7.0,6.0,465,6,470,19.8,0
4.5,6.4,167,5,450,7.2,2
7.6,3.8,131,4,417,3.7,1
9.0,1.0,41,0,137,9.1,1
7.0,2.4,72,6,420,6.9,1
4.7,6.4,268,4,210,1.8,2
4.6,6.8,350,6,20,5.5,2
6.3,4.9,253,3,364,6.1,2
5.3,5.9,322,5,889,2.2,2
8.7,1.6,213,1,706,12.8,1
5.4,7.6,296,4,388,11.1,2
9.3,1.7,0,2,222,0.5,1
4.8,5.7,360,8,309,36.0,0
5.8,3.1,388,6,301,10.3,2
4.8,7.0,319,4,77,1.7,2
7.9,3.0,276,3,334,4.0,1
5.3,7.3,437,10,458,7.2,0
6.3,5.5,235,7,627,0.7,2
9.8,1.0,49,0,396,0.9,1
6.5,5.0,386,4,76,1.1,2
8.3,1.8,130,2,507,8.9,1
8.5,1.5,21,5,362,2.6,1
3.4,7.5,527,8,286,0.7,0
10.0,2.0,17,0,428,8.6,1
10.0,1.0,33,5,507,3.7,1
6.4,3.9,359,2,396,8.5,2
4.6,5.8,339,5,707,1.1,2
4.3,5.7,195,9,20,11.0,0
2.1,7.8,541,9,560,9.7,0
2.5,5.7,539,10,590,11.3,0
10.0,1.6,0,0,228,6.8,1
6.8,2.4,234,5,127,5.1,1
6.7,5.6,481,7,332,1.9,0
5.3,9.1,200,5,235,4.6,2
6.8,2.4,316,1,116,21.0,2
5.4,3.3,398,5,695,3.8,2
3.7,7.1,512,8,485,2.7,0
4.5,8.2,318,9,121,0.7,0
7.2,1.0,186,3,318,4.5,1
8.7,2.3,271,3,530,1.0,2
4.9,7.3,225,5,689,22.4,0
7.7,5.1,40,5,661,0.5,1
6.6,3.0,210,3,351,1.7,1
5.4,5.5,337,10,452,4.8,0
6.2,4.7,348,5,310,12.9,2
7.6,3.6,201,2,272,0.7,1
7.2,4.7,118,5,140,6.2,1
5.7,5.4,217,6,588,13.9,0
8.3,4.2,112,2,696,8.9,1
5.8,4.1,77,9,360,2.9,0
4.3,6.1,330,4,241,7.1,2
1.3,7.4,543,11,510,4.0,0
3.9,6.4,498,6,440,11.7,0
8.5,2.0,46,1,390,1.4,1
4.3,6.9,467,9,456,4.6,0
3.4,9.1,502,6,307,0.5,0
7.9,2.9,464,2,552,13.9,2
5.6,6.7,184,7,815,3.5,2
6.1,5.5,331,9,57,4.4,0
6.7,3.5,354,5,357,11.0,2
7.7,3.3,280,3,479,0.9,1
6.9,4.6,196,3,428,10.7,2
6.9,5.1,178,4,645,1.2,2
6.7,3.6,323,3,379,2.1,2
8.2,1.8,162,5,446,0.5,2
6.9,2.7,143,1,334,2.8,1
9.5,1.1,23,0,455,18.9,1
6.8,4.9,216,8,419,1.5,0
5.7,5.3,410,4,593,2.5,2
8.4,2.9,48,0,501,3.8,1
6.4,5.4,224,0,438,8.9,2
8.6,2.6,271,2,690,5.0,1
8.1,3.7,106,1,639,8.7,1
4.4,6.3,366,4,791,7.6,0
7.8,4.5,64,2,614,8.6,1
8.7,3.5,93,3,1074,3.9,1
4.8,7.4,510,9,542,3.3,0
3.5,6.0,388,7,234,1.8,0
7.1,5.1,402,4,237,36.0,0
5.5,5.2,202,5,522,7.7,2
4.8,5.4,435,5,667,4.5,0
7.4,4.1,129,4,195,3.4,1
6.1,4.3,119,8,469,9.9,2
5.8,7.6,417,5,73,24.2,0
6.2,5.2,172,2,747,5.4,2
7.0,3.9,249,4,428,6.2,2
6.7,4.7,445,6,405,2.5,2
7.5,2.7,129,1,413,18.1,1
6.9,3.2,189,3,188,14.9,2
7.1,5.0,69,4,189,9.7,1
6.2,3.6,163,2,142,1.4,1
7.4,3.2,81,3,453,19.7,2
5.5,7.0,375,7,402,3.3,0
4.2,6.7,466,8,136,10.4,0
3.8,3.5,444,4,459,0.5,2
7.6,3.2,100,2,374,6.8,1
9.8,3.5,150,0,584,10.8,1
3.7,7.7,510,8,644,36.0,0
6.8,4.6,254,5,216,0.5,2
6.0,5.9,284,4,365,5.8,2
3.8,5.0,439,6,329,6.4,0
8.5,1.0,1,3,394,17.6,1
8.5,1.9,2,2,595,11.5,1
6.4,1.0,188,4,405,36.0,2
7.4,2.7,294,0,117,1.7,1
4.7,5.8,419,5,20,4.3,2
7.5,5.4,86,2,289,5.8,1
8.6,1.8,193,2,304,8.0,1
6.3,3.8,434,6,586,0.5,2
4.9,6.3,402,4,495,1.4,2
3.0,8.0,511,10,820,12.5,0
6.1,4.3,259,2,530,6.7,2
5.9,7.3,356,5,614,2.1,2
5.9,5.5,269,4,738,6.8,2
7.6,1.3,151,0,290,5.6,1
8.8,1.8,9,0,516,4.1,1
10.0,1.0,0,1,132,5.3,1
7.0,4.8,406,4,674,1.5,2
5.5,6.2,330,9,734,4.5,0
6.8,3.6,241,5,377,3.0,2
6.7,3.2,392,5,638,3.5,2
8.5,4.3,316,3,339,9.5,1
6.2,5.1,197,2,355,4.7,2
8.0,4.3,315,6,669,6.0,2
7.8,2.0,312,3,421,2.5,1
3.3,6.9,498,10,889,17.1,0
9.5,1.4,4,1,423,12.4,1
5.6,5.2,315,5,541,2.6,2
5.9,4.4,161,3,502,28.1,2
6.6,3.0,129,2,278,8.8,1
6.5,2.5,0,2,243,8.7,1
5.2,5.5,375,5,367,3.4,2
6.6,3.7,179,4,665,10.0,2
2.6,7.8,531,8,416,3.2,0
7.4,2.3,25,4,348,4.5,2
8.5,3.6,173,2,515,1.4,1
7.2,4.5,230,5,416,8.6,2
5.5,4.8,256,4,540,22.1,2
4.9,7.7,301,5,691,13.8,0
6.9,4.3,151,6,329,1.2,2
5.6,4.9,252,7,399,9.2,2
4.5,7.6,424,7,420,6.2,0
7.6,4.5,314,6,388,0.5,2
5.0,8.1,368,11,261,4.8,0
7.9,4.4,258,4,298,9.9,2
5.8,3.2,431,5,491,7.7,2
8.7,2.5,10,2,540,5.4,1
8.0,4.5,327,4,304,3.2,1
7.2,6.5,201,3,202,1.3,2
2.4,8.0,495,8,697,3.1,0
2.9,9.7,394,8,573,10.6,0
7.3,1.3,211,2,209,10.1,1
7.3,4.6,104,3,188,8.2,1
7.6,3.5,62,5,260,4.9,2
4.4,3.4,451,5,236,0.5,2
8.9,2.6,58,3,397,18.2,1
5.7,7.1,377,5,497,10.9,0
5.7,5.6,230,6,253,3.2,2
4.6,6.3,291,9,449,0.8,0
7.5,2.3,6,0,350,12.2,1
7.1,4.4,317,0,452,1.1,1
8.4,1.9,294,5,663,8.7,1
6.9,4.5,158,3,71,11.2,1
5.8,4.7,303,5,428,8.3,2
7.5,6.2,228,7,617,14.0,2
4.7,7.7,233,6,347,12.8,0
5.4,2.3,423,8,754,9.7,2
4.4,5.4,347,10,516,3.6,0
3.7,8.5,407,6,656,5.1,0
7.6,2.1,182,0,400,13.8,1
5.5,8.0,348,5,507,4.8,0
5.3,3.9,404,6,568,6.7,2
5.6,6.1,387,4,833,2.0,2
7.4,1.9,216,3,252,11.0,1
5.0,6.1,390,5,410,13.3,0
6.4,4.3,205,4,502,10.4,2
5.8,6.7,168,7,421,5.8,2
6.8,1.8,302,4,563,8.1,2
4.9,6.6,228,4,669,5.1,2
5.6,6.3,217,4,20,7.2,2
8.8,2.9,167,3,581,6.6,1
3.8,6.5,508,6,342,7.8,0
7.3,4.2,170,2,415,4.1,1
6.2,5.9,291,5,386,5.0,2
3.2,7.8,411,5,687,4.3,0
6.5,4.4,290,8,301,10.2,0
5.1,5.3,232,7,320,3.2,2
8.0,2.4,77,4,427,8.4,1
5.3,3.2,276,4,359,10.2,0
7.3,2.6,107,4,505,8.7,1
4.9,8.3,441,6,488,13.0,0
5.2,6.4,397,4,544,6.2,2
7.5,3.0,181,1,482,2.4,1
5.5,8.1,409,6,406,23.3,0
9.3,1.0,96,0,512,20.3,1
5.9,5.1,358,6,290,3.7,2
7.1,4.5,336,2,385,6.7,2
6.5,2.8,339,5,805,3.4,2
3.9,4.9,536,9,508,0.5,0
5.0,4.8,538,5,472,15.1,0
8.0,2.3,236,3,406,13.0,1
7.7,2.3,359,2,473,0.6,1
3.3,9.0,440,6,20,13.0,0
4.3,6.5,277,3,304,7.7,2
7.7,4.3,108,0,292,1.3,1
5.9,2.5,441,4,512,1.4,2
8.0,3.6,74,3,562,6.3,1
6.5,5.1,420,5,240,2.3,2
7.3,3.5,177,5,199,4.5,2
5.6,5.0,447,4,614,36.0,0
7.8,5.3,459,4,538,4.5,2
8.9,1.0,132,5,308,3.6,1
8.6,3.1,354,1,593,3.3,1
4.6,5.1,390,8,374,16.7,0
6.3,6.2,471,4,238,2.9,2
6.2,6.3,261,9,389,4.2,0
4.4,6.5,486,4,739,22.5,0
